Name,State,Party,Incumbent (yes/no),Chamber,Twitter Handle,Official Candidate
Sandra Whitten,Texas 28,Republican,no,House of representatives,texas_sandra,
Ed Cabrera,Texas 28,Republican,no,House of representatives,NA,no
Steven Fowler,Texas 28,Republican,no,House of representatives,NA,no
Eric Hohman,Texas 28,Republican,no,House of representatives,Eric4Congress,no
Willie Vasquez Ng,Texas 28,Republican,no,House of representatives,WillieForTexas,no
Rolando Rodriguez,Texas 28,Republican,no,House of representatives,Rolando4USD28,no
Sylvia Garcia,Texas 29,Democratic,yes,House of representatives,RepSylviaGarcia ; LaCongresista,yes
Julio Garza,Texas 29,Republican,no,House of representatives,JulioforTexas29,
Robert Schafranek,Texas 29,Republican,no,House of representatives,NA,
Jaimy Blanco,Texas 29,Republican,no,House of representatives,JaimyBlanco,no
Lulite Ejigu,Texas 29,Republican,no,House of representatives,lulite_ejigu,no
Jasmine Crockett,Texas 30,Democratic,no,House of representatives,JasmineForUS,
Jane Hope Hamilton,Texas 30,Democratic,no,House of representatives,JaneHopeTX,
Barbara Mallory Caraway,Texas 30,Democratic,no,House of representatives,BMalloryCaraway,no
Arthur Dixon,Texas 30,Democratic,no,House of representatives,ArthurDixonTX,no
Vonciel Jones,Texas 30,Democratic,no,House of representatives,HillVonciel,no
Jessica Mason,Texas 30,Democratic,no,House of representatives,JessicaMasonTX,no
Abel Mulugheta,Texas 30,Democratic,no,House of representatives,abelfortexas,no
Roy Williams,Texas 30,Democratic,no,House of representatives,RoyWmsJr,no
Keisha Williams-Lankford,Texas 30,Democratic,no,House of representatives,KeishaWLankford,no
James Harris,Texas 30,Republican,no,House of representatives,NA,
James Rodgers,Texas 30,Republican,no,House of representatives,DrJamesBRodgers,
Lizbeth Diaz,Texas 30,Republican,no,House of representatives,NA,no
Kelvin Goodwin-Castillo,Texas 30,Republican,no,House of representatives,GoodwinCastillo,no
Kinya Jefferson,Texas 30,Republican,no,House of representatives,for_kinya,no
Angeigh Roc'ellerpitts,Texas 30,Republican,no,House of representatives,NA,no
TBD,Texas 31,Democratic,no,House of representatives,NA,
John Carter,Texas 31,Republican,yes,House of representatives,JudgeJohnCarter ; JudgeCarter,yes
Abhiram Garapati,Texas 31,Republican,yes,House of representatives,garapati4texas,no
Mike Williams,Texas 31,Republican,yes,House of representatives,NA,no
Colin Allred,Texas 32,Democratic,yes,House of representatives,ColinAllredTX ; RepColinAllred,yes
Antonio Swad,Texas 32,Republican,no,House of representatives,SwadforCongress,
Justin Webb,Texas 32,Republican,no,House of representatives,WebbForTexas,
Nathan Davis,Texas 32,Republican,no,House of representatives,NathanDavisTX,no
Darrell Day,Texas 32,Republican,no,House of representatives,NA,no
Brad Namdar,Texas 32,Republican,no,House of representatives,BradNamdar,no
Edward Okpa,Texas 32,Republican,no,House of representatives,NA,no
Marc Veasey,Texas 33,Democratic,yes,House of representatives,MarcVeasey ; RepVeasey,yes
Carlos Quintanilla,Texas 33,Democratic,no,House of representatives,accionamerica,no
Patrick Gillespie,Texas 33,Republican,no,House of representatives,NA,yes
Robert Glafin,Texas 33,Republican,no,House of representatives,NA,no
Vicente Gonzalez,Texas 34,Democratic,yes,House of representatives,VoteVicente ; RepGonzalez,yes
Laura Cisneros,Texas 34,Democratic,no,House of representatives,DrLauraCisneros,no
Filemon Meza,Texas 34,Democratic,no,House of representatives,NA,no
Beatriz Reynoso,Texas 34,Democratic,no,House of representatives,NA,no
Osbert Rodriguez Haro,Texas 34,Democratic,no,House of representatives,NA,no
William Thompson,Texas 34,Democratic,no,House of representatives,NA,no
Diego Zavala,Texas 34,Democratic,no,House of representatives,NA,no
Mayra Flores,Texas 34,Republican,no,House of representatives,MayraFlores2022,yes
Juana Cantu-Cabrera,Texas 34,Republican,no,House of representatives,DoctoraJuanaCC,no
Gregory Kunkle,Texas 34,Republican,no,House of representatives,GregoryKunkleJr,no
Frank McCaffrey,Texas 34,Republican,no,House of representatives,NA,no
Greg Casar,Texas 35,Democratic,no,House of representatives,GregCasar,yes
Eddie Rodriguez,Texas 35,Democratic,no,House of representatives,EddieforTexas,no
Carla-Joy Sisco,Texas 35,Democratic,no,House of representatives,CarlaJoySisco35,no
Rebecca Viagran,Texas 35,Democratic,no,House of representatives,VoteViagran ; RebeccaViagran,no
Dan McQueen,Texas 35,Republican,no,House of representatives,NA,
Michael Rogriguez,Texas 35,Republican,no,House of representatives,Michael4Texas,
Bill Condict,Texas 35,Republican,no,House of representatives,NA,no
Jenai Aragona,Texas 35,Republican,no,House of representatives,AragonaJenai,no
Marilyn Jackson,Texas 35,Republican,no,House of representatives,NA,no
Alejandro Ledezma,Texas 35,Republican,no,House of representatives,NA,no
Sam Montoya,Texas 35,Republican,no,House of representatives,SamCMontoya,no
Asa Palagi,Texas 35,Republican,no,House of representatives,NA,no
Dan Sawatzki,Texas 35,Republican,no,House of representatives,NA,no
Jennifer Sundt,Texas 35,Republican,no,House of representatives,NA,no
Marvin Jonathan Haire,Texas 36,Democratic,no,House of representatives,jonhaire_36,yes
Brian Babin,Texas 36,Republican,yes,House of representatives,RepBrianBabin ; Babin4Congress,yes
Lloyd Doggett,Texas 37,Democratic,yes,House of representatives,RepLloydDoggett ; LloydDoggettTX,yes
Quinton Beaubouef,Texas 37,Democratic,yes,House of representatives,NA,no
Donna Imam,Texas 37,Democratic,yes,House of representatives,donnaimamTX,no
Chris Jones,Texas 37,Democratic,yes,House of representatives,ChrisJones_TX37,no
Rod Lingsch,Texas 37,Republican,no,House of representatives,RodLingsch,
Jenny Sharon,Texas 37,Republican,no,House of representatives,jenny4congress,
Jeremiah Diacogiannis,Texas 37,Republican,no,House of representatives,JD4TX,no
Duncan Klussman,Texas 38,Democratic,no,House of representatives,NA,
Diana Martinez Alexander,Texas 38,Democratic,no,House of representatives,DianaforTexas,
Centrell Reed,Texas 38,Democratic,no,House of representatives,TheCentrell,no
Wesley Hunt,Texas 38,Republican,no,House of representatives,WesleyHuntTX,yes
Philip Covarrubias,Texas 38,Republican,no,House of representatives,PhilipACovarru2,no
Alex Cross,Texas 38,Republican,no,House of representatives,NA,no
Jerry Ford Sr.,Texas 38,Republican,no,House of representatives,JerryFordSr,no
Brett Guillory,Texas 38,Republican,no,House of representatives,BGuilloryForTX,no
David Hogan,Texas 38,Republican,no,House of representatives,NA,no
Roland Lopez,Texas 38,Republican,no,House of representatives,TexansForLopez,no
Damien Matthew Peter Mockus,Texas 38,Republican,no,House of representatives,VoteMockus,no
Mark Ramsey,Texas 38,Republican,no,House of representatives,RAMSEYforTXCD38,no
Richard Welch,Texas 38,Republican,no,House of representatives,RichardWelchTX,no
Rick Jones,Utah 1,Democratic,no,House of representatives,NA,
Blake Moore,Utah 1,Republican,yes,House of representatives,RepBlakeMoore ; ElectBlakeMoore,
Andrew Badger,Utah 1,Republican,no,House of representatives,BadgerforUtah,
Tina Cannon,Utah 1,Republican,no,House of representatives,TinaCannonUtah,
Steve Hartwick,Utah 2,Democratic,no,House of representatives,votehartwick,
Nicholas Mitchell,Utah 2,Democratic,no,House of representatives,Nick4utah,
Chris Stewart,Utah 2,Republican,yes,House of representatives,RepChrisStewart ; StewartforUtah,
Erin Rider,Utah 2,Republican,no,House of representatives,ErinRiderUtah,
Glenn Wright,Utah 3,Democratic,no,House of representatives,NA,
John Curtis,Utah 3,Republican,yes,House of representatives,CurtisUT ; RepJohnCurtis,
Chris Herrod,Utah 3,Republican,no,House of representatives,chrisnherrod,
Darlene McDonald,Utah 4,Democratic,no,House of representatives,VoteDarlene,
Burgess Owens,Utah 4,Republican,yes,House of representatives,BurgessOwens ; RepBurgessOwens,
Jake Hunsaker,Utah 4,Republican,no,House of representatives,JakeHunsaker,
Becca Balint,Vermont 1,Democratic,no,House of representatives,BeccaBalintVT,
Sianay Chase Clifford,Vermont 1,Democratic,no,House of representatives,Sianay4congress,
Molly Gray,Vermont 1,Democratic,no,House of representatives,mollyforvermont,
Louis Meyers,Vermont 1,Democratic,no,House of representatives,LouisMeyers4VT,
Kesha Ram Hinsdale,Vermont 1,Democratic,no,House of representatives,KeshaRam,
Marcia Horne,Vermont 1,Republican,no,House of representatives,ElectHorne,
Ericka Redic,Vermont 1,Republican,no,House of representatives,ErickaRedic,
Herb Jones,Virginia 1,Democratic,no,House of representatives,herb4virginia,
Rob Wittman,Virginia 1,Republican,yes,House of representatives,ReElectWittman ; RobWittman,
Elaine Luria,Virginia 2,Democratic,yes,House of representatives,ElaineLuriaVA ; RepElaineLuria,
Tommy Altman,Virginia 2,Republican,no,House of representatives,TommyAltman,
Andy Baan,Virginia 2,Republican,no,House of representatives,andybaan,
Jarome Bell,Virginia 2,Republican,no,House of representatives,JaromeBellVA2,
Jen Kiggans,Virginia 2,Republican,no,House of representatives,JenKiggans,
Bobby Scott,Virginia 3,Democratic,yes,House of representatives,BobbyScott4VA3 ; BobbyScott,
Theodore Engquist,Virginia 3,Republican,no,House of representatives,TedEngquist,
Terry Namkung,Virginia 3,Republican,no,House of representatives,TerryNamkung,
Donald McEachin,Virginia 4,Democratic,yes,House of representatives,Donald_McEachin ; RepMcEachin,
Leon Benjamin,Virginia 4,Republican,no,House of representatives,Leon4Congress,
Joshua Throneburg,Virginia 5,Democratic,no,House of representatives,jthroneburg,
Bob Good,Virginia 5,Republican,yes,House of representatives,GoodForCongress ; RepBobGood,
Dan Moy,Virginia 5,Republican,no,House of representatives,votedanmoy,
Jennifer Lewis,Virginia 6,Democratic,no,House of representatives,JenniferForVA,
Ben Cline,Virginia 6,Republican,yes,House of representatives,Cline4Virginia ; RepBenCline,
Merritt Hale,Virginia 6,Republican,no,House of representatives,MerrittHale,
Abigail Spanberger,Virginia 7,Democratic,yes,House of representatives,SpanbergerVA07 ; RepSpanberger,
Derrick Anderson,Virginia 7,Republican,no,House of representatives,DerrickforVA,
Gary Adkins,Virginia 7,Republican,no,House of representatives,GaryAdkins,
Gina Ciarcia,Virginia 7,Republican,no,House of representatives,GinaCiarcia,
Bryce Reeves,Virginia 7,Republican,no,House of representatives,ReevesVA,
David Ross,Virginia 7,Republican,no,House of representatives,Ross4Liberty,
Crystal Vanuch,Virginia 7,Republican,no,House of representatives,VoteVanuch,
Yesli Vega,Virginia 7,Republican,no,House of representatives,yestoyesli,
Don Beyer,Virginia 8,Democratic,yes,House of representatives,RepDonBeyer ; DonBeyerVA,
Victoria Virasingh,Virginia 8,Democratic,no,House of representatives,Victoria4VA,
Monica Carpio,Virginia 8,Republican,no,House of representatives,Mon_Carpio ; MonCarpioVA,
Jeff Jordan,Virginia 8,Republican,no,House of representatives,JeffJordan2022,
Heerak Christian Kim,Virginia 8,Republican,no,House of representatives,Heerak4Congress,
Karina Lipsman,Virginia 8,Republican,no,House of representatives,KarinaCongress,
Kezia Tunnell,Virginia 8,Republican,no,House of representatives,kezia_tunnell,
Taysha DeVaughan,Virginia 9,Democratic,no,House of representatives,NA,
Morgan Griffith,Virginia 9,Republican,yes,House of representatives,RepMGriffith ; MorganGriffith,
Jennifer Wexton,Virginia 10,Democratic,yes,House of representatives,JenniferWexton ; RepWexton,
John Beatty,Virginia 10,Republican,no,House of representatives,beattyforus,
Dave Beckwith,Virginia 10,Republican,no,House of representatives,DaveB4congress,
Hung Cao,Virginia 10,Republican,no,House of representatives,HungCaoCongress,
Mike Clancy,Virginia 10,Republican,no,House of representatives,Clancy4Congress,
Theresa Ellis,Virginia 10,Republican,no,House of representatives,TCoatesEllis,
John Henley,Virginia 10,Republican,no,House of representatives,JohnHenleyVA,
Jeanine Lawson,Virginia 10,Republican,no,House of representatives,JeanineLawsonVA,
Paul Lott,Virginia 10,Republican,no,House of representatives,PaulLott,
Caleb Max,Virginia 10,Republican,no,House of representatives,CalebMaxVA10,
Brandon Michon,Virginia 10,Republican,no,House of representatives,BrandonMichon,
Brooke Taylor,Virginia 10,Republican,no,House of representatives,Brooke4Congress,
Gerry Connolly,Virginia 11,Democratic,yes,House of representatives,ElectConnolly ; GerryConnolly,
Jim Myles,Virginia 11,Republican,no,House of representatives,NA,yes
Manga Anantatmula,Virginia 11,Republican,no,House of representatives,Manga4Congress,no
Joe Babb,Virginia 11,Republican,no,House of representatives,babbforcongress,no
Barbara Banks,Virginia 11,Republican,no,House of representatives,NA,no
Matthew Chappell,Virginia 11,Republican,no,House of representatives,Matt4VA11,no
Suzan DelBene,Washington 1,Democratic,yes,House of representatives,SuzanDelBene ; RepDelBene,
Vincent Cavaleri,Washington 1,Republican,no,House of representatives,cavalerifor,
Jason Call,Washington 2,Democratic,no,House of representatives,CallForCongress,
Rick Larsen,Washington 2,Democratic,yes,House of representatives,larsenrick ; RepRickLarsen,
Bill Wheeler,Washington 2,Republican,no,House of representatives,WHEELERFORWA,
Leif Johnson,Washington 2,Republican,no,House of representatives,Leif4Congress,
Carrie Kennedy,Washington 2,Republican,no,House of representatives,Carrie4Congress,
Jon Welch,Washington 2,Republican,no,House of representatives,NA,
Brent Hennrich,Washington 3,Democratic,no,House of representatives,bhennrich,
Marie Perez,Washington 3,Democratic,no,House of representatives,MGPforCongress,
Davy Ray,Washington 3,Democratic,no,House of representatives,DavyforCongress,
Chris Jenkins,Washington 3,Democratic,no,House of representatives,NA,
Leslie French,Washington 3,Republican,no,House of representatives,NA,
Jaime Herrera Beutler,Washington 3,Republican,yes,House of representatives,HerreraBeutler ; JaimeForUSRep,
Joe Kent ,Washington 3,Republican,no,House of representatives,joekent16jan19,
Vicki Kraft,Washington 3,Republican,no,House of representatives,VickiKraft,
Matthew Overton,Washington 3,Republican,no,House of representatives,Matthew35928899,
Heidi St. John,Washington 3,Republican,no,House of representatives,HSJForCongress,
Doug White,Washington 4,Democratic,no,House of representatives,DougCongress,
Loren Culp,Washington 4,Republican,no,House of representatives,LorenCulp,
Benancio Garcia III,Washington 4,Republican,no,House of representatives,BenGarciaWA4,
Corey Gibson,Washington 4,Republican,no,House of representatives,CoreyGibson,
Brad Klippert ,Washington 4,Republican,no,House of representatives,Brad_Klippert,
Dan Newhouse,Washington 4,Republican,yes,House of representatives,Newhouse4Rep ; RepNewhouse,
Jerrod Sessler,Washington 4,Republican,no,House of representatives,Sessler,
Ann Marie Danimus,Washington 5,Democratic,no,House of representatives,Vote4AnnMarie,
Natasha Hill,Washington 5,Democratic,no,House of representatives,VoteNatashaHill,
Cathy McMorris Rodgers,Washington 5,Republican,yes,House of representatives,TeamCMR ; cathymcmorris,
Derek Kilmer,Washington 6,Democratic,yes,House of representatives,DerekKilmer ; RepDerekKilmer,
Rebecca Parson,Washington 6,Democratic,no,House of representatives,RebeccaforWA,
Elizabeth Kreiselmaier,Washington 6,Republican,no,House of representatives,cleanupthehouse,
Aaron Hansen,Washington 6,Republican,no,House of representatives,NA,
Pramila Jayapal,Washington 7,Democratic,yes,House of representatives,PramilaJayapal ; RepJayapal,
Paul Glumaz,Washington 7,Republican,no,House of representatives,Glumaz4Congress,
Kim Schrier,Washington 8,Democratic,yes,House of representatives,RepKimSchrier ; DrKimSchrier,
Reagan Dunn,Washington 8,Republican,no,House of representatives,reagandunn,
Jesse Jensen,Washington 8,Republican,no,House of representatives,JesseJensenWA,
Matt Larkin,Washington 8,Republican,no,House of representatives,MattLarkin4WA,
Stephanie Gallardo,Washington 9,Democratic,no,House of representatives,ElectGallardo,
Amelia Paz,Washington 9,Democratic,no,House of representatives,NA,
Adam Smith ,Washington 9,Democratic,yes,House of representatives,electadamsmith ; RepAdamSmith,
Doug Basler,Washington 9,Republican,no,House of representatives,dougbasler,
Sea Chan,Washington 9,Republican,no,House of representatives,NA,
Marilyn Strickland,Washington 10,Democratic,yes,House of representatives,StricklandforWA ; RepStricklandWA,
Dan Gordon,Washington 10,Republican,no,House of representatives,NA,
Don Hewett,Washington 10,Republican,no,House of representatives,DonHewettWA10,
Keith Swank,Washington 10,Republican,no,House of representatives,Swank4America,
Lacy Watson,West Virginia 1,Democratic,no,House of representatives,votelacy,yes
Carol Miller,West Virginia 1,Republican,yes,House of representatives,CarolMillerWV ; RepCarolMiller,yes
Scott Fuller,West Virginia 1,Republican,no,House of representatives,NA,no
James Houser,West Virginia 1,Republican,no,House of representatives,NA,no
Zane Lawhorn,West Virginia 1,Republican,no,House of representatives,NA,no
Kent Stevens,West Virginia 1,Republican,no,House of representatives,KentS4Congress,no
Barry Lee Wendell,West Virginia 2,Democratic,no,House of representatives,BarryLeeWendell,yes
Angela Dwyer,West Virginia 2,Democratic,no,House of representatives,NA,no
Alex Mooney,West Virginia 2,Republican,yes,House of representatives,MooneyforWV ; RepAlexMooney,yes
Susan Buchser-Lochocki,West Virginia 2,Republican,no,House of representatives,BuchserSusan,no
Rhonda Hercules,West Virginia 2,Republican,no,House of representatives,RhondaHercules,no
David McKinley,West Virginia 2,Republican,yes,House of representatives,RepMcKinley ; McKinleyforWV,no
Mike Seckman,West Virginia 2,Republican,no,House of representatives,NA,no
Ann Roe,Wisconsin 1,Democratic,no,House of representatives,AnnRoe4Congress,
TBD,Wisconsin 1,Republican,no,House of representatives,NA,
Mark Pocan,Wisconsin 2,Democratic,yes,House of representatives,MarkPocan ; repmarkpocan,
Charity Barry,Wisconsin 2,Republican,no,House of representatives,BarryCongress,
Rebecca Cooke,Wisconsin 3,Democratic,no,House of representatives,RebeccaforWI,
Brett Knudsen,Wisconsin 3,Democratic,no,House of representatives,CheeseheadLefty,
Deb McGrath,Wisconsin 3,Democratic,no,House of representatives,DebMcGrathWI,
Brad Pfaff,Wisconsin 3,Democratic,no,House of representatives,pfaff4congress,
Mark Neumann,Wisconsin 3,Democratic,no,House of representatives,DrMark_3rdCD_WI,
Derrick Van Orden,Wisconsin 3,Republican,no,House of representatives,derrickvanorden,
Gwen Moore,Wisconsin 4,Democratic,yes,House of representatives,RepGwenMoore ; Gwen4Congress,
TBD,Wisconsin 4,Republican,no,House of representatives,NA,
Ronald Remmel,Wisconsin 5,Democratic,no,House of representatives,NA,
Mike Van Someren,Wisconsin 5,Democratic,no,House of representatives,mvsforwi,
Scott L. Fitzgerald,Wisconsin 5,Republican,yes,House of representatives,FitzgeraldForWI ; RepFitzgerald,
Amy Washburn,Wisconsin 6,Democratic,no,House of representatives,AIWashburn,
Douglas Mullenix,Wisconsin 6,Republican,no,House of representatives,douglasforwi,
Glenn Grothman,Wisconsin 6,Republican,yes,House of representatives,GrothmanforWI ; RepGrothman,
TBD,Wisconsin 7,Democratic,no,House of representatives,NA,
Tom Tiffany,Wisconsin 7,Republican,yes,House of representatives,TomTiffanyWI ; RepTiffany,
Rahb Kettleson,Wisconsin 8,Democratic,no,House of representatives,NA,
Mike Gallagher,Wisconsin 8,Republican,yes,House of representatives,MikeforWI ; RepGallagher,
TBD,Wyoming 1,Democratic,no,House of representatives,NA,
Robyn Belinskey,Wyoming 1,Republican,no,House of representatives,RBelinskey,
Anthony Bouchard,Wyoming 1,Republican,no,House of representatives,AnthonyBouchard,
Liz Cheney,Wyoming 1,Republican,yes,House of representatives,Liz_Cheney ; RepLizCheney,
Harriet Hageman,Wyoming 1,Republican,no,House of representatives,HagemanforWY,
Denton Knapp,Wyoming 1,Republican,no,House of representatives,knapp_wy,
